arm,state_id,base,state_digest,truth_sha256,png_sha256,original_png_sha256,manifest_sha256,score,intersection,union,hallucinations,fog_tp,fog_fn,obscured_tp,obscured_fn,fogEligibleOrdinary,fogObscuredOnly,fogExcludedNeither,fogOutOfBounds,obscuredEligibleOrdinary,obscuredFogOnly,obscuredExcludedNeither,obscuredOutOfBounds,ordinary_denominator,ordinary_rate,collision_denominator,collision_rate,truth_overlap,predicted_overlap,candidate_delta,stable_positive_loss,identity_status
C1,generated-los-cover-v1-5763022-total-v2,5763022,a716bad4bc65c6b8e35fd78ea3aa30ebca516e57a9530af11c47e3835e5afb93,dd135b3e068ce6bc819041c525ddd5b0a101c50dd34f3b9a9b15fca61ddd0ab0,ed5133079e19263f78e21274b15c0a1b933d3fb83e723cfc93fab282896e2016,ed5133079e19263f78e21274b15c0a1b933d3fb83e723cfc93fab282896e2016,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.213333333333,16,75,48,1,0,15,11,29,1,4,0,11,0,3,0,1190,0.024369747899,103,0.009708737864,0,2,,0,identity
C1,generated-los-cover-v1-5763040-none-v4,5763040,c409eac2e310b650426e22cff28379609eb64efaf1f5f4bdd6f8322b673dab18,38e63cfbef6b7044dba585cf2f6473710c263743d78d4efb7e8f2922b79c2636,4392ad12b09ee8aa3eddb2b7609bfe7cf1d334f21a3e50dcbb851e0c47516e44,4392ad12b09ee8aa3eddb2b7609bfe7cf1d334f21a3e50dcbb851e0c47516e44,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.483870967742,15,31,15,0,1,15,0,0,15,0,0,0,0,0,0,1040,0.000000000000,60,0.250000000000,0,15,,0,identity
C1,generated-los-cover-v1-5763027-total-v3,5763027,f54ddc957faf887bac08c7f739138a47e14b9b14218e3d947d80fd986fea26f9,5cf69827777c744e35e25570bea0d7a922da49726a5c57dccd8009b164825983,c1192620cb9b2e33c690255a41ace8d4b64a1665200858c4aa19b85074cf4fb3,c1192620cb9b2e33c690255a41ace8d4b64a1665200858c4aa19b85074cf4fb3,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.100000000000,1,10,0,1,0,0,9,0,0,0,0,0,0,0,0,689,0.000000000000,35,0.000000000000,0,0,,0,identity
C1,generated-los-cover-v1-5763047-none-v5,5763047,0606c1fbe7715a7dcedb89953cd9c3e44a91ed39be6793bfffac8aa50a17a5a5,23e7202c80f444964512518cf5ffd1508cfa2faefbd702af2316ba18267795da,cc6ba30bbfb334568a743f74c0957e176988aba6fa1adcc93ab3a9755101c96f,cc6ba30bbfb334568a743f74c0957e176988aba6fa1adcc93ab3a9755101c96f,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.823529411765,14,17,2,0,1,14,0,2,0,0,0,0,0,0,0,1322,0.001512859304,55,0.000000000000,0,0,,0,identity
C1,generated-los-cover-v1-5763047-three_quarters-v5,5763047,233900fef8ec31138bc429a013e704ac08df507b64ba0ddba9920569907da9e0,6c4dd8e478f8b57382b9d7abbe9f0905b9643dd8aabf0eb7732b6d6cb6d499d6,8e3b43e20fabad7892cb86c97557a83c6d82116c98d7c030c0a6a5e9d4d126a5,8e3b43e20fabad7892cb86c97557a83c6d82116c98d7c030c0a6a5e9d4d126a5,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.068965517241,2,29,14,0,1,2,12,0,14,0,0,0,0,0,0,1322,0.000000000000,55,0.254545454545,0,2,,0,identity
C1,generated-los-cover-v1-5763006-three_quarters-v6,5763006,f98c15d021800e4dae1b586bc703cad3781fae55d6949fc610bb40ca1c23f301,2fd5a21d1d3740c087019b4aa87fde6f2f2f14841d84482d25b711aecdeaf29d,aec91ecef1e158f6b4466cb41e9e12f3e64d1a9919b6fb4e45e94c03490f80a0,aec91ecef1e158f6b4466cb41e9e12f3e64d1a9919b6fb4e45e94c03490f80a0,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.000000000000,0,19,6,0,1,0,12,0,0,0,0,5,0,1,0,1090,0.000000000000,95,0.000000000000,0,0,,0,identity
C1,generated-los-cover-v1-5763027-none-v3,5763027,9551457042a20daae3a302452ffe7671e8fd31c7dcc57df41b1f6b89630829bf,a300daaddc094b18c566b4a07f34e4934e3cbff9418ed6ff4938898272b8c8c5,74a72d9dcdf73a559702119210b7903d5ffd3362311f26c26241eb1982a5c8fe,74a72d9dcdf73a559702119210b7903d5ffd3362311f26c26241eb1982a5c8fe,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.000000000000,0,12,2,0,1,0,9,0,0,0,0,2,0,0,0,689,0.000000000000,35,0.000000000000,0,0,,0,identity
C1,generated-los-cover-v1-5763006-none-v6,5763006,8a6585bc569f2d19da1e24f17649e6f973c0ea3af26faea77a709f213bf2f869,c88ef5c8e3a0b04c6d4370efb05237e9c49aeab3fe66015b382aa47ef97fc2e1,b99d766414687f5b3cd7b6e9ebbc1d9bd320ae51cb173dd6b74e192ad087e130,b99d766414687f5b3cd7b6e9ebbc1d9bd320ae51cb173dd6b74e192ad087e130,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.000000000000,0,18,5,0,1,0,12,2,1,0,0,2,0,0,0,1090,0.001834862385,95,0.010526315789,0,2,,0,identity
C1,generated-los-cover-v1-5763040-half-v4,5763040,4a0cf6e2600c3f221e55675955d3821229ecbb529fb1a9c8e9991db4000d7205,cb6c2e2749f757ec0461d9d68fee8d1a406bdfcb509446ecf10f763dfdfd9c23,3de58f13ab00bb72f899389b042321634411b47a2d78de824eece2a545bc8b11,3de58f13ab00bb72f899389b042321634411b47a2d78de824eece2a545bc8b11,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.000000000000,0,38,22,0,1,0,15,0,0,0,0,22,0,0,0,1040,0.000000000000,60,0.000000000000,0,0,,0,identity
C1,generated-los-cover-v1-5763006-none-v1,5763006,9f76295dff0915a831f41de3362c9b2cbbbfbd5c3f623fecd76e516dffe31f3b,af552dc7b3fb82a025fae4a2d5955a00d50cdb6f71008919bd2637eb9e6795fd,a68dfd232896dd795a36f537922b2fac3faced396cecdec9a2f56433a14f172b,a68dfd232896dd795a36f537922b2fac3faced396cecdec9a2f56433a14f172b,bea4f62aa50b778ab505e90fbc30dbfffa2857cb30b7c38efb42f296068f35f6,0.000000000000,0,27,14,0,1,0,12,5,3,0,0,6,0,0,0,1090,0.004587155963,95,0.031578947368,0,0,,0,identity
