scope,key,control_spread,control_mean_difference,threshold,control_c1_mean,control_c2_mean,reference_mean,score_headroom,denominator,control_c1_count,control_c2_count,reference_count,control_c1_rate,control_c2_rate,reference_rate,control_rate_difference,rate_spread,rate_headroom,twice_spread_below_headroom,fog_fn_c1,fog_fn_c2,obscured_fn_c1,obscured_fn_c2,stable_positive_facts,disputed_positive_facts,verdict
overall,all,193213/427924,1392825172709/320769947534400,193213/213962,3107043708791/16882628817600,122100079/679482180,116674835761349/641539895068800,524865059307451/641539895068800,,,,,,,,,,,,16,13,243,215,5,9,REPEATABILITY_AUTHENTICATED
base,5763006,97229/1259700,8561/314925,97229/629850,2739/44200,1031/29640,121879/2519400,2397521/2519400,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
base,5763022,11847709/30232800,6586609/30232800,11847709/15116400,22553/122400,3377/8398,17727791/60465600,42737809/60465600,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
base,5763027,7/80,19/240,7/40,11/240,1/8,41/480,439/480,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
base,5763040,2714671/8606468,1573249/8606468,2714671/4303234,153951/905944,697/1976,2249159/8606468,6357309/8606468,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
base,5763047,193213/427924,193213/427924,193213/213962,4005/6902,463/3596,303407/855848,552441/855848,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
leave_one_out,5763006,193213/427924,1513804999387/213846631689600,193213/213962,162253782031/662063875200,15229559/60398416,106329748191413/427693263379200,321363515187787/427693263379200,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
leave_one_out,5763022,193213/427924,724452401417/14850460534000,193213/213962,431431320809/2344809558000,2251801/16653975,14221032986491/89102763204000,74881730217509/89102763204000,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
leave_one_out,5763027,193213/427924,5625206424899/267308289612000,193213/213962,2978079183101/14068857348000,431776801/2264940600,107541802532939/534616579224000,427074776691061/534616579224000,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
leave_one_out,5763040,193213/427924,39734993989/951275052000,193213/213962,301789381/1615068000,328616551/2264940600,24290222833/146350008000,122059785167/146350008000,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
leave_one_out,5763047,11847709/30232800,112048163897/1316789604000,11847709/15116400,7262591797/69304716000,239197/1259700,388026652183/2633579208000,2245552555817/2633579208000,,,,,,,,,,,,,,,,,,REPEATABILITY_AUTHENTICATED
family,ordinary,,,,,,,,5331,265,88,353/2,265/5331,88/5331,353/10662,59/1777,177/1040,false,false,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,ordinary:5763006,,,,,,,,1090,16,13,29/2,8/545,13/1090,29/2180,3/1090,3/1090,true,true,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,ordinary:5763022,,,,,,,,1190,47,53,50/1,47/1190,53/1190,5/119,3/595,3/595,true,true,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,ordinary:5763027,,,,,,,,689,0,0,0/1,0/1,0/1,0/1,0/1,0/1,false,false,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,ordinary:5763040,,,,,,,,1040,199,22,221/2,199/1040,11/520,17/160,177/1040,177/1040,false,false,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,ordinary:5763047,,,,,,,,1322,3,0,3/2,3/1322,0/1,3/2644,3/1322,3/1322,false,false,,,,,,,REPEATABILITY_AUTHENTICATED
family,collision,,,,,,,,348,119,114,233/2,119/348,19/58,233/696,5/348,41/55,false,false,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,collision:5763006,,,,,,,,95,4,8,6/1,4/95,8/95,6/95,4/95,4/95,false,false,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,collision:5763022,,,,,,,,103,56,43,99/2,56/103,43/103,99/206,13/103,13/103,true,true,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,collision:5763027,,,,,,,,35,9,8,17/2,9/35,8/35,17/70,1/35,1/35,true,true,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,collision:5763040,,,,,,,,60,36,0,18/1,3/5,0/1,3/10,3/5,3/5,false,false,,,,,,,REPEATABILITY_AUTHENTICATED
family_base,collision:5763047,,,,,,,,55,14,55,69/2,14/55,1/1,69/110,41/55,41/55,false,false,,,,,,,REPEATABILITY_AUTHENTICATED
